organism_name,NO,compound
Streptomyces clavuligerus ATCC 27064,0,naringenin
Ruminococcus flavefaciens FD-1,0,flavecins
Pseudomonas fluorescens SBW25,0,viscosin
Arabidopsis thaliana,0,arabidiol-baruol
Arabidopsis thaliana,0,tirucalla
Cucumis sativus,0,cucurbitacin
Lotus japonicus,0,linamarin
Lotus japonicus,1,lotaustralin
Lotus japonicus,0,lupeol
Manihot esculenta,0,linamarin
Manihot esculenta,1,lotaustralin
Solanum habrochaites,0,monoterpenes-diterpenes
Solanum lycopersicum,0,lycosantalonol
Solanum pennellii,0,monoterpenes-diterpenes
Solanum pimpinellifolium,0,monoterpenes-diterpenes
Papaver somniferum,0,noscapine
Micromonospora purpureochromogenes,0,rakicidin A
Micromonospora purpureochromogenes,1,rakicidin B
Micromonospora sp. M42,0,rakicidin A
Micromonospora sp. M42,1,rakicidin B
Streptomyces lilacinus,0,rakicidin D
Micromonospora sp. RV43,0,BE-43547A1
Micromonospora sp. RV43,1,BE-43547A2
Micromonospora sp. RV43,2,BE-43547B1
Micromonospora sp. RV43,3,BE-43547B2
Micromonospora sp. RV43,4,BE-43547B3
Micromonospora sp. RV43,5,BE-43547C1
Micromonospora sp. RV43,6,BE-43547C2
Salinispora arenicola CNR107,0,BE-43547A1
Salinispora arenicola CNR107,1,BE-43547A2
Salinispora arenicola CNR107,2,BE-43547B1
Salinispora arenicola CNR107,3,BE-43547B2
Salinispora arenicola CNR107,4,BE-43547B3
Salinispora arenicola CNR107,5,BE-43547C1
Salinispora arenicola CNR107,6,BE-43547C2
Streptomyces sp. MspMP-M5,0,microtermolide A
uncultured bacterium AB1650,0,BE-54017
Streptomyces uncialis,0,caldoniamide A
Streptomyces uncialis,1,cladoniamide B
Streptomyces uncialis,2,cladoniamide C7
Streptomyces uncialis,3,cladoniamide D
Streptomyces uncialis,4,cladoniamide E
Streptomyces uncialis,5,cladoniamide F
Streptomyces uncialis,6,cladoniamide G
uncultured bacterium,0,borregomycin A
uncultured bacterium,1,borregomycin B
uncultured bacterium,2,borregomycin C
uncultured bacterium,3,borregomycin D
uncultured bacterium,0,erdasporine A
uncultured bacterium,1,erdasporine B
uncultured bacterium,2,erdasporine C
uncultured bacterium,0,lazarimide A
uncultured bacterium,1,lazarimide B
uncultured bacterium,2,lazarimide C
Monascus ruber,0,citrinin
Phoma sp. MF5453,0,squalestatin S1
Byssochlamys fulva,0,byssochlamic acid
Rothia nasimurium,0,valinomycin
Chondromyces crocatus,0,Cmc-thuggacin A
Chondromyces crocatus,1,Cmc-thuggacin B
Stigmatella aurantiaca Sg a15,0,aurachin A
Stigmatella aurantiaca Sg a15,1,aurachin D
Cystobacter sp. SBCb004,0,tubulysin A
Cystobacter sp. SBCb004,1,tubulysin B
Cystobacter sp. SBCb004,2,tubulysin C
Cystobacter sp. SBCb004,3,tubulysin D
Cystobacter sp. SBCb004,4,tubulysin E
Cystobacter sp. SBCb004,5,tubulysin F
Cystobacter sp. SBCb004,6,tubulysin G
Cystobacter sp. SBCb004,7,tubulysin H
Cystobacter sp. SBCb004,8,tubulysin I
Stigmatella aurantiaca Sg a15,0,myxochelin A
Stigmatella aurantiaca Sg a15,1,myxochelin B
Pseudomonas fluorescens,0,bananamide 1
Pseudomonas fluorescens,1,bananamide 2
Pseudomonas fluorescens,2,bananamide 3
Streptomyces varsoviensis,0,JBIR-100
Streptomyces sp. SCSIO 03032,0,heronamide A
Streptomyces sp. SCSIO 03032,1,heronamide B
Streptomyces sp. SCSIO 03032,2,heronamide C
Streptomyces sp. SCSIO 03032,3,heronamide D
Streptomyces sp. SCSIO 03032,4,heronamide E
Streptomyces sp. SCSIO 03032,5,heronamide F
Leptolyngbya sp. ISBN3-Nov-94-8,0,phormidolide
Paenibacillus dendritiformis C454,0,paeninodin
Nostoc sp. CAVN2,0,carbamidocyclophane A
Nostoc sp. CAVN2,1,carbamidocyclophane B
Nostoc sp. CAVN2,2,carbamidocyclophane C
Nostoc sp. CAVN2,3,carbamidocyclophane D
Nostoc sp. CAVN2,4,carbamidocyclophane E
Nostoc sp. CAVN2,5,carbamidocyclophane F
Nostoc sp. CAVN2,6,carbamidocyclophane H
Nostoc sp. CAVN2,7,carbamidocyclophane M
Nostoc sp. CAVN2,8,carbamidocyclophane N
Nostoc sp. CAVN2,9,carbamidocyclophane O
Nostoc sp. CAVN2,10,carbamidocyclophane P
Nostoc sp. CAVN2,11,carbamidocyclophane Q
Nostoc sp. CAVN2,12,carbamidocyclophane R
Nostoc sp. CAVN2,13,carbamidocyclophane S
Nostoc sp. CAVN2,14,carbamidocyclophane T
Nostoc sp. CAVN2,15,carbamidocyclophane U
Purpureocillium lilacinum,0,leucinostatin A
Purpureocillium lilacinum,1,leucinostatin B
Penicillium roqueforti FM164,0,mycophenolic acid
Serratia plymuthica 4Rx13,0,sodorifen
Phaeobacter inhibens DSM 17395,0,tropodithietic acid
Ralstonia solanacearum GMI1000,0,ralsolamycin
Actinomadura atramentaria DSM 43919,0,cinnamycin B
Claviceps purpurea 20.1,0,clapurines
Streptomyces sp. FJS31-2,0,BE-24566B
Streptomyces sp. FJS31-2,1,zunyimycin A
Haliangium ochraceum DSM 14365,0,haliamide
Streptomyces sp. NRRL F-4474,0,JBIR-126
uncultured bacterium,0,metatricycloene
Streptomyces rochei,0,lipopeptide 8D1-1
Streptomyces rochei,1,lipopeptide 8D1-2
Aspergillus nidulans NRRL 8112,0,echinocandin B
Penicillium thymicola,0,penigequinolone A
Sordaria araneosa,0,sordarin
Streptomyces albogriseolus,0,thienodolin
Penicillium simplicissimum,0,penitrem A
Penicillium simplicissimum,1,penitrem B
Penicillium simplicissimum,2,penitrem C
Penicillium simplicissimum,3,penitrem D
Penicillium simplicissimum,4,penitrem E
Penicillium simplicissimum,5,penitrem F
Streptosporangium sp. FXJ7.131,0,WS79089A
Streptosporangium sp. FXJ7.131,1,hexaricin B
Streptosporangium sp. FXJ7.131,2,hexaricin C
Streptomyces uncialis,0,uncialamycin
Streptomyces sp. CB03234,0,tiancimycin
Streptomyces luteocolor,0,BD-12
Agrobacterium sp. ZX09,0,salecan
Nocardia terpenica,0,brasilinolide A
Nocardia terpenica,1,brasilinolide B
Nocardia terpenica,2,brasilinolide C
Jeotgalibacillus marinus,0,macrolactin H
Jeotgalibacillus marinus,1,macrolactin B
Jeotgalibacillus marinus,2,macrolactin 1c
Jeotgalibacillus marinus,3,macrolactin E
Streptomyces sp. TK08046,0,saprolmycin E
Streptomyces sp. RI-77,0,JBIR-76
Streptomyces sp. RI-77,1,JBIR-77
Streptomyces calvus,0,nucleocidin
Lactobacillus gasseri,0,gassericin E
Pseudomonas cichorii,0,cichopeptin
Stachybotrys bisbyi,0,LL-Z1272beta
Bacillus thuringiensis serovar rongseni,0,thusin
Chitinophaga pinensis DSM 2588,0,pinensins
Staphylococcus lugdunensis N920143,0,lugdunin
Myxococcus stipitatus DSM 14675,0,phenalamide A2
Actinoplanes teichomyceticus,0,teichomycin
Streptomyces sp. A1(2016),0,aldgamycin J
Streptomyces sp. A1(2016),1,aldgamycin K
Streptomyces sp. A1(2016),2,aldgamycin P
Streptomyces sp. A1(2016),3,aldgamycin E
Streptomyces globisporus C-1027,0,lidamycin
Aspergillus nidulans FGSC A4,0,fellutamide B
Aspergillus terreus NIH2624,0,citreoviridin
Talaromyces islandicus,0,cyclochlorotine
Talaromyces islandicus,1,hydroxy-cyclochlorotine
Talaromyces islandicus,2,cyclotine
Talaromyces islandicus,3,cyclochlorotine B
Talaromyces islandicus,4,deoxy-Cyclochlorotine
Aspergillus fumigatus Af293,0,trypacidin
Penicillium rubens Wisconsin 54-1255,0,sorbicillin
Chaetomium globosum CBS 148.51,0,chaetoviridin E
Chaetomium globosum CBS 148.51,1,11-epichaetomugilin A
Streptomyces canus,0,telomycin
Bacillus cereus SJ1,0,bicereucin
Xanthomonas oryzae pv. oryzae KACC 10331,0,xanthoferrin
Streptomyces minoensis,0,dutomycin
Bacteroides fragilis,0,polysaccharide A
Bacteroides fragilis,0,polysaccharide B
Bacteroides fragilis,0,polysaccharide C
Cystobacter sp. Cbv34,0,cystobactamide
Streptomyces muensis,0,griselimycin
Serratia marcescens subsp. marcescens Db11,0,althiomycin
Pseudomonas sp. In5,0,nunapeptin
Pseudomonas sp. In5,1,nunamycin
Cystobacterineae bacterium,0,myxochromide D
Hyalangium minutum,0,myxochromide D
Hyalangium minutum,0,myxochromide D
Hyalangium minutum,0,myxochromide D
Myxococcus sp.,0,myxochromide B
Myxococcus fulvus HW-1,0,myxochromide A
Myxococcus hansupus,0,myxochromide C
Myxococcus virescens,0,myxochromide C
Myxococcus xanthus DK 1622,0,myxochromide A
Myxococcus xanthus,0,myxochromide A
Myxococcus xanthus,0,myxochromide A
Myxococcus xanthus,0,myxochromide A
Stigmatella aurantiaca DW4/3-1,0,myxochromide S1
Stigmatella aurantiaca Sg a15,0,myxochromide S
Stigmatella aurantiaca,0,myxochromide S
Stigmatella erecta,0,myxochromide D
Streptomyces argillaceus,0,argimycin PI
Streptomyces argillaceus,1,argimycin PII
Streptomyces argillaceus,2,nigrifactin
Streptomyces argillaceus,3,argimycin PIV
Streptomyces argillaceus,4,argimycin PV
Streptomyces argillaceus,5,argimycin PVI
Streptomyces argillaceus,6,argimycin PIX
Xenorhabdus budapestensis,0,nematophin
Streptomyces sp. ZJ306,0,ikarugamycin
Paecilomyces divaricatus,0,cornexistin
Pseudomonas fluorescens,0,obafluorin
Streptomyces sp. CS057,0,warkmycin CS1
Streptomyces sp. CS057,1,warkmycin CS2
Streptomyces sp. CS113,0,antibiotic HKI 10311129
Streptomyces sp. CS113,1,antibiotic A2121-1
Streptomyces sp. CS113,2,cervimycin D
Streptomyces sp. CS113,3,cervimycin C
Streptomyces sp. CS113,4,cervimycin A
Kitasatospora cystarginea,0,cystargolide A
Kitasatospora cystarginea,1,cystargolide B
Streptomyces sp.,0,belactosin A
Streptomyces sp.,1,belactosin C
Streptomyces sp. strain ATCC 14903,0,actinonin
Actinomadura atramentaria DSM 43919,0,matlystatin A
Streptomyces sp. NTK 937,0,caboxamycin
Aspergillus flavus NRRL3357,0,leporin B
Aspergillus flavus NRRL3357,0,asparasone A
Saccharomonospora azurea SZMC 14600,0,primycin
uncultured bacterium,0,malacidin A
uncultured bacterium,1,malacidin B
Thermothelomyces thermophilus,0,ucs1025a
Candidatus Burkholderia crenata,0,FR900359
Streptomyces sp. CS149,0,sipanmycin
Streptomyces argillaceus,0,desferrioxamine
Streptomyces argillaceus,0,germicidin
Streptomyces argillaceus,0,antimycin
Streptomyces argillaceus,0,isorenieratene
Streptomyces caniferus,0,jomthonic acid A
Streptomyces caniferus,1,jomthonic acid B
Streptomyces caniferus,2,jomthonic acid C
Salinispora tropica CNB-440,0,salinipostin G
Amycolatopsis regifaucium,0,decaplanin
Amycolatopsis decaplanina DSM 44594,0,decaplanin
Amycolatopsis keratiniphila subsp. nogabecina,0,nogabecin
Amycolatopsis coloradensis,0,avoparcin
Pseudoalteromonas piscicida,0,"2,3,4,5-tetrabromopyrrole"
Pseudoalteromonas sp. PS5,0,tetrabromopyrrole
Marinomonas mediterranea MMB-1,0,bromopyrroles/bromophenols
Fischerella sp. PCC 9431,0,hapalosin
Streptomyces cinnamoneus,0,bicyclomycin
Brevibacillus sp. Leaf182,0,marthiapeptide A
Brevibacillus sp. Leaf182,0,macrobrevin
Amycolatopsis saalfeldensis,0,saalfelduracin
Streptomyces bernensis,0,berninamycin A
Micromonospora arborensis,0,Sch 18640
Streptomyces tateyamensis,0,thiopeptin
Aspergillus terreus NIH2624,0,aspterric acid
Streptomyces sp.,0,pseudouridimycin
Streptomyces sp. ID38640,0,lydicamycin
Streptomyces sp. ID38640,0,desferrioxamine E
Nostoc punctiforme PCC 73102,0,anabaenopeptin NZ857
Nostoc punctiforme PCC 73102,1,nostamide A
Methylobacter tundripaludum 21/22,0,tundrenone
Fusarium fujikuroi IMI 58289,0,α-acorenol
Streptomyces sp. RM-5-8,0,5-isoprenylindole-3-carboxylate β-D-glycosyl ester
Actinomadura sp. ATCC 39365,0,2'-chloropentostatin
Actinomadura sp. ATCC 39365,1,2'-amino-2'-deoxyadenosine
Actinoplanes tsinanensis,0,3-demethylchuangxinmycin
Pseudomonas syringae pv. maculicola str. ES4326,0,3-thiaglutamate
Streptomyces cyaneofuscatus,0,"3,7-dihydroxytropolone"
Pseudomonas fluorescens WH6,0,4-formylaminooxyvinylglycine
Cladonia uncialis subsp. uncialis,0,6-hydroxymellein
Couchioplanes caeruleus subsp. caeruleus,0,67-121C
Streptomyces sp. LC-6-2,0,abyssomicin M
Streptomyces sp. LC-6-2,1,abyssomicin N
Streptomyces sp. LC-6-2,2,abyssomicin O
Streptomyces sp. LC-6-2,3,abyssomicin P
Streptomyces sp. LC-6-2,4,abyssomicin Q
Streptomyces sp. LC-6-2,5,abyssomicin R
Streptomyces sp. LC-6-2,6,abyssomicin S
Streptomyces sp. LC-6-2,7,abyssomicin T
Streptomyces sp. LC-6-2,8,abyssomicin U
Streptomyces sp. LC-6-2,9,abyssomicin V
Streptomyces sp. LC-6-2,10,abyssomicin W
Streptomyces sp. LC-6-2,11,abyssomicin X
Streptomyces achromogenes subsp. achromogenes,0,achromosin
Acinetobacter gyllenbergii CIP 110306,0,acinetodin
Actinoallomurus fulvus,0,actinoallolide A
Actinokineospora spheciospongiae,0,actinokineosin
Streptomyces sp.,0,actinonin
Xenorhabdus szentirmaii DSM 16338,0,aerobactin
Pantoea ananatis,0,aerobactin
Actinoallomurus sp. ID145698,0,allocyclinone
Fischerella sp. TAU,0,ambiguine P
Aeromonas hydrophila subsp. hydrophila ATCC 7966,0,amonabactin P 750
Amycolatopsis sp.,0,amycolamycin A
Amycolatopsis sp.,1,amycolamycin B
Amycolatopsis sp. AA4,0,amycomicin
Sphaerospermopsis sp. LEGE 00249,0,anacyclamide D8P
Streptomyces sp. NRRL S-146,0,anantin B1
Streptomyces sp. NRRL S-146,1,anantin B2
Streptomyces olindensis,0,anantin C
Penicillium roqueforti,0,andrastin A
Pseudomonas fluorescens,0,anikasin
Streptomyces hygrospinosus,0,anisomycin
Actinosynnema pretiosum subsp. pretiosum,0,ansamitocin P-3
Streptomyces sp.,0,BE-24566B
Actinobacteria bacterium,0,anthrabenzoxocinone
Streptomyces citricolor,0,aristeromycin
Aspergillus nidulans FGSC A4,0,aspercryptins
Aspergillus flavus NRRL3357,0,aspergillic acid
Aspergillus terreus NIH2624,0,asperphenamate
Aspergillus oryzae RIB40,0,astellolide A
Streptomyces aurantiacus JA 4570,0,aurantimycin A
Bacillus subtilis,0,aurantinin B
Bacillus subtilis,1,aurantinin C
Bacillus subtilis,2,aurantinin D
Herpetosiphon aurantiacus DSM 785,0,auriculamide
Streptomyces filamentosus,0,auroramycin
Streptomyces sp. 211726,0,azalomycin F3a
Sulfurospirillum barnesii SES-3,0,barnesin A
Synechocystis salina LEGE 06155,0,bartoloside 2
Synechocystis salina LEGE 06155,1,bartoloside 3
Synechocystis salina LEGE 06155,2,bartoloside 4
Synechocystis salina LEGE 06099,0,bartolosides E
Synechocystis salina LEGE 06099,1,bartolosides F
Synechocystis salina LEGE 06099,2,bartolosides G
Synechocystis salina LEGE 06099,3,bartolosides H
Synechocystis salina LEGE 06099,4,bartolosides I
Synechocystis salina LEGE 06099,5,bartolosides J
Synechocystis salina LEGE 06099,6,bartolosides K
Gelatoporia subvermispora,0,basidioferrin
Phoma betae,0,betaestacin
Streptomyces sp. RI18,0,bezastatin derivates
Streptomyces cinnamoneus,0,bicyclomycin
Tenacibaculum mesophilum,0,bisucaberin B
Brevibacillus laterosporus,0,bogorol A
Streptomyces rochei,0,borrelidin
Streptomyces filamentosus,0,branched-chain fatty acids
Streptomyces filamentosus,0,branched-chain fatty acids
Brevibacillus laterosporus,0,brevicidine
Streptomyces sp. NBRC 110030,0,butyrolactol A
Streptomyces sp. NTK 937,0,caboxamycin
Streptomyces cattleya NRRL 8057 = DSM 46488,0,cattlecin
Streptomyces zelensis,0,CC-1065
Cercospora beticola,0,cercosporin
Cercospora zeina,0,cercosporin
Hahella chejuensis,0,chejuenolide A
Hahella chejuensis,1,chejuenolide B
Aspergillus campestris IBT 28561,0,chlorflavonin
Fusarium graminearum PH-1,0,chrysogine
Actinoplanes tsinanensis,0,chuangxinmycin
Aspergillus stellatus,0,citreohybridonol
Streptomyces albulus,0,citrulassin A
Streptomyces aurantiacus JA 4570,0,citrulassin B
Streptomyces katrae,0,citrulassin D
Streptomyces glaucescens,0,citrulassin E
Streptomyces avermitilis MA-4680 = NBRC 14893,0,citrulassin F
Streptomyces sp. JV178,0,clifednamide A
Methanosarcina barkeri str. Fusaro,0,coenzyme F430
Escherichia coli chi7122,0,colicin V
Streptomyces sp.,0,combamide
Paecilomyces divaricatus,0,cornexistin
Streptomyces sp. CNT302,0,cosmomycin C
Chondromyces crocatus,0,crocagin A
Chondromyces crocatus,1,crocagin B
Moorea producens JHB,0,cryptomaldamide
Streptomyces curacoi,0,curacomycin
Streptomyces curacoi,0,curacomycin
Cochliobolus pallescens,0,curvupallide-B
Cuspidothrix issatschenkoi CHARLIE-1,0,cusperin
Beauveria felina,0,cyclosporin C
Cylindrospermum licheniforme UTEX B 2014,0,cylindrocyclophane
Streptomyces lincolnensis,0,cysteoamide
Streptomyces sp. SCSIO 1666,0,cytorhodin
Streptomyces noursei ATCC 11455,0,dechlorocuracomycin
Streptomyces albulus,0,deimino-antipain
Nodulisporium sp.,0,demethoxyviridin
Pantoea agglomerans,0,desferrioxamine E
Claviceps africana,0,dihydrolysergic acid
Streptomyces thioluteus,0,diisonitrile antibiotic SF2768
Ruminococcus sp. 5_1_39BFAA,0,dipeptide aldehydes
Prochloron didemni,0,divamide A
Prochloron didemni,0,divamide B
Talaromyces stipitatus ATCC 10500,0,duclauxin
Streptomyces cinnamoneus,0,duramycin
Kitasatospora aburaviensis,0,ebelactone
Nonomuraea sp. MJM5123,0,ecumicin
Escovopsis weberi,0,emodin
Streptomyces sp. CB02366,0,C-1027
Escovopsis weberi,0,melinacidin IV
Pseudomonas stutzeri,0,EPS273
Streptomyces avermitilis MA-4680 = NBRC 14893,0,ethylenediaminesuccinic acid hydroxyarginine (EDHA)
Burkholderia pseudomallei 1026b,0,exopolysaccharides
Burkholderia cenocepacia J2315,0,exopolysaccharides
Streptomyces sp. KY5,0,formicamycins A-M
uncultured bacterium CSLC2,0,fatty acid enol ester
Streptomyces lunaelactis,0,ferroverdin
Streptomyces ficellus,0,ficellomycin
Fischerella muscicola UTEX 1829,0,fischerindole L
Fischerella sp. SAG 46.79,0,fischerindole
Streptomyces albus,0,fluostatins M-Q
Actinomadura fulva subsp. indica,0,fluvirucin B2
Streptomyces diastatochromogenes,0,foxicins A-D
Burkholderia cenocepacia H111,0,fragin
Fusarium graminearum,0,fusarielin H
Lactobacillus gasseri,0,gassericin-S
Lactobacillus gasseri,0,gassericin-T
Micromonospora echinospora,0,gentamicin
Fusarium fujikuroi,0,gibberellin
Sinorhizobium fredii NGR234,0,gibberellin
Fusarium fujikuroi IMI 58289,0,gibepyrone-A
Streptomyces sp. NRRL B-1347,0,gilvusmycin
[Polyangium] brachysporum,0,glidopeptin
Trichoderma virens Gv29-8,0,gliovirin
Streptomyces ahygroscopicus subsp. wuzhouensis,0,gougerotin
Streptomyces sp. CB01883,0,guangnanmycin
Fischerella ambigua UTEX 1903,0,ambiguine H isonitrile
Planktothrix serta PCC 8927,0,hassallidin E
Heteroscytonema crispum UCFS10,0,hexose-palythine-serine
Heteroscytonema crispum UCFS10,1,hexose-shinorine
Aspergillus japonicus,0,himeic acid A
Stereum hirsutum FP-91666 SS1,0,hirsutene
Staphylococcus hyicus,0,hyicin 3682
Streptomyces sp. WAC2288,0,ibomycin
Streptomyces atratus,0,ilamycins
Aspergillus flavus NRRL3357,0,imizoquin A
Aspergillus flavus NRRL3357,1,imizoquin B
Aspergillus flavus NRRL3357,2,imizoquin C
Aspergillus flavus NRRL3357,3,imizoquin D
Aspergillus flavus NRRL3357,4,TMC-2A
Aspergillus flavus NRRL3357,5,TMC-2B
Streptomyces sp.,0,isatropolone A
Streptomyces sp.,1,isotropolone B
Streptomyces sp.,2,isotropolone C
Streptomyces sp. MSC090213JE08,0,ishigamide
Pestalotiopsis fici,0,iso-A82775C
Streptomyces sp. CB01883,0,isofuranonaphthoquinone
Stachybotrys chlorohalonata IBT 40285,0,isoindolinone
Mycobacterium tuberculosis H37Rv,0,isonitrile lipopeptides
Kibdelosporangium sp. AK-AA56,0,JBIR-78
Kibdelosporangium sp. AK-AA56,1,JBIR-95
uncultured Candidatus Entotheonella sp.,0,kasumigamide
Microcystis aeruginosa NIES-87,0,kasumigamide
Microcystis aeruginosa NIES-88,0,kawaguchipeptin A
Streptomyces mobaraensis NBRC 13819 = DSM 40847,0,ketomemicin B3
Streptomyces mobaraensis NBRC 13819 = DSM 40847,1,ketomemicin B4
Streptomyces sp. NRRL F-5702,0,keywimysin
Nonomuraea sp. ATCC 55076,0,kistamicin A
Curvularia clavata,0,KK-1
Klebsiella oxytoca,0,kleboxymycin
Klebsiella pneumoniae subsp. ozaenae,0,klebsazolicin
Klebsiella pneumoniae,0,klebsidin
Kocuria rosea,0,kocurin
Photorhabdus laumondii subsp. laumondii TTO1,0,kolossin
Fusarium fujikuroi IMI 58289,0,koraiol
Gynuella sunshinyii YC6258,0,lacunalides
Streptomyces sp. NRRL S-118,0,lagmysin
Burkholderia gladioli,0,lagriamide
Streptomyces sp. MP131-18,0,lagunapyrone A
Streptomyces sp. MP131-18,1,lagunapyrone B
Streptomyces sp. MP131-18,2,lagunapyrone C
Streptomyces sp.,0,lasalocid
Streptomyces lavendulae,0,lavendiol
Lysobacter enzymogenes,0,Le-pyrrolopyrazines
Tannerella forsythia 92A2,0,legionaminic acid
Streptomyces sp. ICBB 8177,0,limazepine C
Streptomyces sp. ICBB 8177,1,limazepine D
Streptomyces sp. ICBB 8177,2,limazepine E
Streptomyces sp. ICBB 8177,3,limazepine F
Streptomyces sp. ICBB 8177,4,limazepine A
Microbispora sp. GMKU363,0,linfuranone B
Microbispora sp. GMKU363,1,linfuranone C
Bacteroides thetaiotaomicron VPI-5482,0,lipooligosaccharide
Nocardiopsis alba DSM 43377,0,LP2006
Planktothrix paucivesiculata PCC 9631,0,luminaolide
Lysobacter sp. RH2180-5,0,lysocin
Amycolatopsis sp. M39,0,macrotermycins
Fusarium equiseti,0,mangicol A
Marinactinospora thermotolerans,0,mathermycin
Streptomyces sp.,0,mayamycin
Kitasatospora mediocidica,0,mediomycin A
Nostoc sp. UIC 10110,0,merocyclophane C
Nostoc sp. UIC 10110,1,merocyclophane D
Scytonema sp. PCC 10023,0,merosterol
Mycobacterium marinum M,0,methylated alkyl-resorcinol
Mycobacterium marinum M,1,methylated acyl-phloroglucinol
Micromonospora sp. HK160111,0,microansamycin
Fischerella sp. CENA161,0,microcystin-LR
Fischerella sp. CENA161,1,microcystin-FR
Fischerella sp. CENA161,2,microcystin-LA
Fischerella sp. CENA161,3,microcystin-LAba
Fischerella sp. CENA161,4,microcystin-LM
Fischerella sp. CENA161,5,microcystin-LV
Fischerella sp. CENA161,6,microcystin-LL
Aspergillus nidulans FGSC A4,0,EQ-4
Microbacterium arborescens,0,microvionin
Streptomyces cinnamonensis,0,monensin
Agrobacterium tumefaciens,0,monobactam
[Flexibacter] sp. ATCC 35103,0,monobactam
Streptomyces cattleya NRRL 8057 = DSM 46488,0,moomysin
Streptomyces mirabilis,0,MS-271
Streptomyces griseoruber,0,murayaquinone
Penicillium roqueforti,0,mycophenolic acid
Symbiodinium sp. clade A Y106,0,mycosporine-like amino acids (MAAs)
Aspergillus nidulans FGSC A4,0,N-Acetyltryptophan
Bradyrhizobiaceae bacterium SG-6C,0,N-acyl alanine
Bacteroides fragilis 638R,0,N-acyl glycine
Pseudomonas aeruginosa LESB58,0,N-acyl lysine/ornithine
Bacillus sp. 2_A_57_CT2,0,N-acyl serinol
Klebsiella variicola,0,N-acyloxyacyl glutamine
Raoultella ornithinolytica 10-5246,0,N-acyloxyacyl lysine
Clostridium sp. CAG:567,0,N-octanoyl-Met-Phe-H
uncultured bacterium CSL12,0,N-tetradecanoyl tyrosine
uncultured bacterium CSLC2,0,N-tetradecanoyl tyrosine
Streptomyces gilvosporeus,0,natamycin
Xenorhabdus nematophila ATCC 19061,0,nematophin
Micromonospora echinospora,0,nenestatin
Streptomyces koyangensis,0,meoabyssomicin
Streptomyces koyangensis,1,abyssomicin
Streptomyces conglobatus,0,neoantimycin
Streptomyces sp.,0,neothioviridamide
Neurospora crassa OR74A,0,neurosporin A
Xenorhabdus budapestensis,0,nevaltophin A
Xenorhabdus budapestensis,1,nevaltophin B
Xenorhabdus budapestensis,2,nevaltophin C
Xenorhabdus budapestensis,3,nevaltophin D
Aspergillus nidulans FGSC A4,0,nidulanin A
Streptomyces sp. IMB7-145,0,niphimycins C-E
Blautia obeum,0,nisin O
Saccharothrix syringae,0,nocamycin
Nostoc sp. CCAP 1453/38,0,nocuolin A
Nodularia sp. HBU26,0,nocuolin A
Nostoc sp. CENA543,0,nodularin
Hypoxylon pulicicidum,0,nodulisporic acid F
Streptomyces sp.,0,nosiheptide
Aspergillus novofumigatus IBT 16806,0,novofumigatonin
Streptomyces albulus,0,nystatin
Pseudomonas fluorescens,0,obafluorin
Burkholderia pyrrocinia,0,occidiofungin A
Aspergillus steynii IBT 23096,0,ochrindole A
Ochrobactrum anthropi,0,ochrobactin
Bacillus circulans,0,octapeptin C4
Xenorhabdus nematophila AN6/1,0,odilorhabdins
Penicillium simplicissimum,0,okaramine B
Aspergillus aculeatus ATCC 16872,0,okaramine D
Streptomyces olivaceus,0,olimycin A
Streptomyces olivaceus,1,olimycin B
Beauveria bassiana ARSEF 2860,0,oosporein
Burkholderia cepacia,0,ornibactin
Aspergillus nidulans FGSC A4,0,aspernidine A
Streptomyces antibioticus,0,oviedomycin
Penicillium oxalicum 114-2,0,oxaleimide C
Bacillus megaterium,0,oxetanocin A
Streptomyces pactum,0,pactamides
Paenibacillus polymyxa E681,0,paenilan
Paenibacillus polymyxa E681,0,paenilipoheptin
Penicillium brasilianum,0,paraherquonin
Actinoallomurus sp.,0,paramagnetoquinone 1
Actinoallomurus sp.,1,paramagnetoquinone 2
Streptomyces paulus,0,paulomycin
Streptomyces sp. YN86,0,paulomycin
Pleurocapsa sp. PCC 7327,0,PcpA
Streptomyces antibioticus,0,pentostatine
Streptomyces antibioticus,1,vidarabine
Photorhabdus laumondii subsp. laumondii TTO1,0,pepteridine A
Photorhabdus laumondii subsp. laumondii TTO1,1,pepteridine B
Corallococcus coralloides,0,phenalamide
Pyrenochaetopsis sp.,0,phomasetin
Streptomyces sp. NRRL F-525,0,phosphonoacetic Acid
Streptomyces avermitilis,0,phthoxazolin
Phyllosticta cirsii,0,phyllostictine A
Phyllosticta cirsii,1,phyllostictine B
Candidatus Streptomyces philanthi bv. triangulum,0,piericidin A1
Lactobacillus plantarum,0,plantaricyclin
Pleurocapsa sp. PCC 7319,0,PlpA1
Pleurocapsa sp. PCC 7319,1,PlpA2
Pleurocapsa sp. PCC 7319,2,PlpA3
Streptomyces pristinaespiralis ATCC 25486,0,pristinol
Tannerella forsythia,0,pseudaminic acid
Nostoc sp. CENA543,0,pseudospumigin A
Nostoc sp. CENA543,1,pseudospumigin B
Nostoc sp. CENA543,2,pseudospumigin C
Nostoc sp. CENA543,3,pseudospumigin D
Nostoc sp. CENA543,4,pseudospumigin E
Nostoc sp. CENA543,5,pseudospumigin F
Pyricularia oryzae 70-15,0,epipyriculol
Nannocystis pusilla,0,pyrronazol B
Pyxidicoccus sp. MCy9557,0,pyxipyrrolone A
